"bnavn1";"tliten";"tstor, vegnummer";"lat";"lon";"harAp";"apBeskr";"kommunenr";"bomstasjonId";"aadtTotal";"aadtLGV";"aadtYear";"aadtId"
"E.18 Hovedløp";"15.5";"46.5";"Ev18";"59.90984";"10.62807";"Ja";"AutoPASS + automatisk";"0219";"209148812";"72030";"11";"2013";"237470199"
"Rampe Lysaker til Ev 18";"15.5";"46.5";"Ev18";"59.91154";"10.63324";"Ja";"AutoPASS + automatisk";"0219";"217619592";"-9999";"-9999";"-9999";"-9999"
"Rampe Lysaker til Ev 18";"15.5";"46.5";"Ev18";"59.91154";"10.63324";"Ja";"AutoPASS + automatisk";"0219";"217619592";"-9999";"-9999";"-9999";"-9999"
"Rampe Fornebu til E 18";"15.5";"46.5";"Ev18";"59.90971";"10.62833";"Ja";"AutoPASS + automatisk";"0219";"209148815";"10900";"8";"2013";"275340526"
"Rampe Fornebu til E 18";"15.5";"46.5";"Ev18";"59.90971";"10.62833";"Ja";"AutoPASS + automatisk";"0219";"209148815";"10900";"8";"2013";"275340526"
"Pårampe E 18 Lysakerlokket";"15.5";"46.5";"Ev18";"59.91158";"10.63279";"Ja";"AutoPASS + automatisk";"0219";"209148816";"-9999";"-9999";"-9999";"-9999"
"Pårampe E 18 Lysakerlokket";"15.5";"46.5";"Ev18";"59.91158";"10.63279";"Ja";"AutoPASS + automatisk";"0219";"209148816";"-9999";"-9999";"-9999";"-9999"
"Pårampe Granfoss fra E 18";"15.5";"46.5";"Ev18";"59.90922";"10.62675";"Ja";"AutoPASS + automatisk";"0219";"209148813";"12700";"7";"2013";"218784674"
"Pårampe Granfoss fra E 18";"15.5";"46.5";"Ev18";"59.90922";"10.62675";"Ja";"AutoPASS + automatisk";"0219";"209148813";"12700";"7";"2013";"218784674"
"E18 Mosseveien";"31.0";"93.0";"Ev18";"59.88492";"10.76865";"Ja";"AutoPASS + automatisk";"0301";"86574503";"24771";"10";"2013";"86338495"
"E18 Maritim";"31.0";"93.0";"Ev18";"59.92050";"10.67267";"Ja";"AutoPASS + automatisk";"0301";"86574502";"72500";"12";"2013";"237417121"
"Pårampe E18 Maritim";"31.0";"93.0";"Ev18";"59.92039";"10.67733";"Ja";"AutoPASS + automatisk";"0301";"147093914";"5300";"7";"2009";"218644069"
"Skinmo";"12.0";"24.0";"Ev18";"59.11974";"10.13212";"Ja";"AutoPASS + automatisk";"0709";"267487703";"22000";"14";"2013";"371261634"
"Sky";"18.0";"36.0";"Ev18";"59.07049";"9.94013";"Ja";"AutoPASS + automatisk";"0709";"337541380";"14200";"18";"2013";"370968028"
"Sky";"18.0";"36.0";"Ev18";"59.07049";"9.94013";"Ja";"AutoPASS + automatisk";"0709";"337541380";"14200";"18";"2013";"370968028"
"Østerholtheia";"30.0";"60.0";"Ev18";"58.86763";"9.15063";"Ja";"AutoPASS + automatisk";"0911";"84580545";"7050";"20";"2013";"240036439"
"Inntjore";"15.0";"30.0";"Ev18";"58.29688";"8.46181";"Ja";"AutoPASS + automatisk";"0904";"267766136";"12100";"14";"2013";"237339932"
"Inntjore";"15.0";"30.0";"Ev18";"58.29688";"8.46181";"Ja";"AutoPASS + automatisk";"0904";"267766136";"12100";"14";"2013";"237339932"
"Kviksdalen";"15.0";"30.0";"Ev18";"58.20017";"8.19204";"Ja";"AutoPASS + automatisk";"0926";"329869871";"15500";"13";"2013";"237335439"
"Kviksdalen";"15.0";"30.0";"Ev18";"58.20017";"8.19204";"Ja";"AutoPASS + automatisk";"0926";"329869871";"15500";"13";"2013";"237335439"
"Bjørndalsletta";"14.0";"28.0";"Ev18";"58.16207";"8.02329";"Ja";"AutoPASS + automatisk";"1001";"86228352";"41850";"8";"2013";"85801017"
"Bjørndalsletta";"14.0";"28.0";"Ev18";"58.16207";"8.02329";"Ja";"AutoPASS + automatisk";"1001";"86228352";"41850";"8";"2013";"85801017"
"Vesterveien";"14.0";"28.0";"Ev39";"58.14120";"7.97643";"Ja";"AutoPASS + automatisk";"1001";"272300229";"39400";"11";"2013";"85800944"
"Handeland";"25.0";"50.0";"Ev39";"58.21786";"7.01866";"Ja";"AutoPASS + automatisk";"1032";"319668380";"5500";"10";"2013";"85800915"
"Handeland";"25.0";"50.0";"Ev39";"58.21786";"7.01866";"Ja";"AutoPASS + automatisk";"1032";"319668380";"5500";"10";"2013";"85800915"
"Bråstein";"20.0";"50.0";"Ev39";"58.79599";"5.79377";"Ja";"Har autopass";"1102";"79813777";"17900";"10";"2013";"79293565"
"Bråstein";"20.0";"50.0";"Ev39";"58.79599";"5.79377";"Ja";"Har autopass";"1102";"79813777";"17900";"10";"2013";"79293565"
"Forus";"20.0";"50.0";"Ev39";"58.88908";"5.71657";"Ja";"Har autopass";"1102";"79813742";"55600";"9";"2013";"323512532"
"Forus";"20.0";"50.0";"Ev39";"58.88908";"5.71657";"Ja";"Har autopass";"1102";"79813742";"55600";"9";"2013";"323512532"
"E39 Randabergveien";"20.0";"50.0";"Ev39";"58.98352";"5.67254";"Ja";"Har autopass";"1103";"79813754";"19300";"6";"2013";"79294438"
"E39 Randabergveien";"20.0";"50.0";"Ev39";"58.98352";"5.67254";"Ja";"Har autopass";"1103";"79813754";"19300";"6";"2013";"79294438"
"LILAND";"12.0";"24.0";"Ev39";"59.49436";"5.43723";"Ja";"AutoPASS + automatisk";"1146";"264392511";"3600";"16";"2013";"79294872"
"LILAND";"12.0";"24.0";"Ev39";"59.49436";"5.43723";"Ja";"AutoPASS + automatisk";"1146";"264392511";"3600";"16";"2013";"79294872"
"Fjøsangerveien";"25.0";"50.0";"Ev39";"60.35241";"5.33814";"Ja";"AutoPASS + automatisk";"1201";"141140381";"45600";"9";"2013";"159526725"
"Fjøsangerveien";"25.0";"50.0";"Ev39";"60.35241";"5.33814";"Ja";"AutoPASS + automatisk";"1201";"141140381";"45600";"9";"2013";"159526725"
"Nygårdsbroen";"25.0";"50.0";"Ev39";"60.37924";"5.33567";"Ja";"AutoPASS + automatisk";"1201";"82559836";"54400";"8";"2013";"81877465"
"E39 Sandviken";"25.0";"50.0";"Ev39";"60.41780";"5.31333";"Ja";"AutoPASS + automatisk";"1201";"82443541";"27600";"8";"2013";"81877171"
"Buvika";"20.0";"40.0";"Ev39";"63.31115";"10.19489";"Ja";"AutoPASS + automatisk";"1657";"264832261";"10020";"12";"2013";"84802921"
