"bnavn1";"tliten";"tstor, vegnummer";"lat";"lon";"harAp";"apBeskr";"kommunenr";"bomstasjonId";"aadtTotal";"aadtLGV";"aadtYear";"aadtId"
"Spissøy";"65.0";"130.0";"Fv542";"59.73661";"5.37035";"Ja";"AutoPASS + automatisk";"1219";"439256485";"2940";"14";"2013";"81877580"
"HALSNØY";"100.0";"320.0";"Fv544";"59.79648";"5.73352";"Ja";"Har autopass";"1224";"264394704";"820";"12";"2013";"208949171"
"Folgefonn bomstasjon";"72.0";"145.0";"Fv551";"60.13357";"6.33326";"Ja";"Har autopass";"1224";"82359614";"960";"15";"2013";"81877296"
"Straume";"25.0";"50.0";"Fv556";"60.32259";"5.27098";"Ja";"AutoPASS + automatisk";"1201";"82559832";"4400";"8";"2013";"81877529"
"Dolviken";"25.0";"50.0";"Fv557";"60.30956";"5.26654";"Ja";"AutoPASS + automatisk";"1201";"287649715";"6200";"5";"2013";"287723680"
"Osterøybrua";"62.0";"206.0";"Fv566";"60.43011";"5.53487";"Ja";"AutoPASS + automatisk";"1253";"82559838";"3040";"9";"2013";"81876393"
"Storetveitvegen";"25.0";"50.0";"Fv582";"60.34623";"5.34932";"Ja";"AutoPASS + automatisk";"1201";"141140382";"7400";"4";"2013";"81876836"
"Michael Krohnsgate";"25.0";"50.0";"Fv582";"60.38154";"5.31799";"Ja";"AutoPASS + automatisk";"1201";"141140384";"8600";"6";"2013";"204476840"
"Nattlandsveien";"25.0";"50.0";"Fv585";"60.34631";"5.36408";"Ja";"AutoPASS + automatisk";"1201";"141140383";"10900";"5";"2013";"210053091"
"Kalfaret";"25.0";"50.0";"Fv585";"60.38913";"5.33991";"Ja";"AutoPASS + automatisk";"1201";"82559837";"7500";"9";"2013";"81876800"
"Strandveien";"15.5";"46.5";"Fv610";"59.91280";"10.63985";"Ja";"AutoPASS + automatisk";"0219";"209148818";"5980";"8";"2013";"83258053"
"Imarsund";"105.0";"315.0";"Fv680";"63.23388";"8.26802";"Ja";"AutoPASS + automatisk";"1576";"265210642";"490";"12";"2013";"212431366"
"Torgård";"10.0";"30.0";"Fv704";"63.32637";"10.36759";"Ja";"AutoPASS + automatisk";"1601";"487415242";"7910";"13";"2013";"84802532"
"Klett-Fv707";"10.0";"30.0";"Fv707";"63.32442";"10.30665";"Ja";"AutoPASS + automatisk";"1601";"265182534";"5800";"11";"2013";"84802492"
"Ferje Brekstad - Valset";"65.0";"195.0";"Fv710";"63.68645";"9.66733";"Nei";"Kun manuell";"1621";"338309712";"460";"0";"2013";"84802437"
"Våvatnet";"52.0";"260.0";"Fv714";"63.33524";"9.53381";"Ja";"AutoPASS + automatisk";"1613";"459864406";"1570";"20";"2013";"84802413"
"Vaslag";"67.0";"335.0";"Fv714";"63.49540";"9.27449";"Ja";"AutoPASS + automatisk";"1613";"489813800";"-9999";"-9999";"-9999";"-9999"
"Flakk";"82.0";"246.0";"Fv715";"63.44961";"10.19535";"Ja";"AutoPASS + manuell";"1601";"349721902";"1990";"10";"2013";"276353242"
"Rørvik";"82.0";"246.0";"Fv715";"63.50831";"10.13370";"Ja";"AutoPASS + manuell";"1624";"349838035";"1990";"10";"2013";"84802350"
"Krinsvatn";"65.0";"195.0";"Fv715";"63.80258";"10.22872";"Ja";"AutoPASS + automatisk";"1624";"337546677";"1370";"13";"2013";"84802338"
"Namsosbrua";"18.0";"36.0";"Fv769";"64.45935";"11.52324";"Ja";"AutoPASS + automatisk";"1703";"114286492";"6400";"8";"2013";"375043304"
"Bråten";"18.0";"36.0";"Fv769";"64.47686";"11.48319";"Ja";"AutoPASS + automatisk";"1703";"265182533";"1600";"10";"2013";"375043305"
"Øysand";"20.0";"40.0";"Fv800";"63.32255";"10.20905";"Ja";"AutoPASS + automatisk";"1653";"271823939";"1070";"0";"2013";"84804227"
"Thamshavn";"20.0";"40.0";"Fv800";"63.32936";"9.90869";"Ja";"AutoPASS + automatisk";"1657";"271822533";"680";"0";"2013";"84804226"
"Byåsvegen sør for Havstadvegen";"8.0";"24.0";"Fv812";"63.40544";"10.35895";"Ja";"AutoPASS + automatisk";"1601";"487415247";"11100";"5";"2013";"268248889"
"SPANNAVEIEN";"12.0";"24.0";"Fv831";"59.40128";"5.29873";"Ja";"AutoPASS + automatisk";"1106";"264392508";"8500";"6";"2013";"79293436"
"Bøckmansveg";"8.0";"24.0";"Fv856";"63.40548";"10.38296";"Ja";"AutoPASS + automatisk";"1601";"487458620";"6300";"11";"2013";"320426694"
"Ryaforbindelsen";"100.0";"100.0";"Fv858";"69.57571";"18.78412";"Ja";"AutoPASS + automatisk";"1902";"305811795";"500";"9";"2013";"374502093"
"Ryaforbindelsen";"100.0";"100.0";"Fv858";"69.57578";"18.78420";"Ja";"AutoPASS + automatisk";"1902";"305811794";"500";"9";"2013";"374502093"
"Torbjørns Brattsveg";"8.0";"24.0";"Fv860";"63.40878";"10.42068";"Ja";"AutoPASS + automatisk";"1601";"487458621";"15400";"10";"2013";"268248895"
"Jonsvannsvegen";"8.0";"24.0";"Fv861";"63.40929";"10.44054";"Ja";"AutoPASS + automatisk";"1601";"487458622";"9000";"0";"2013";"245575950"
"Haakon VII gate vest for Omkjv";"8.0";"24.0";"Fv868";"63.43026";"10.47596";"Ja";"AutoPASS + automatisk";"1601";"537750758";"-9999";"-9999";"-9999";"-9999"
"Brattsbergvegen nord for omkv.";"8.0";"24.0";"Fv885";"63.40241";"10.40054";"Ja";"AutoPASS + automatisk";"1601";"487458618";"8800";"0";"2013";"320515605"
"Tillerbrua";"10.0";"30.0";"Fv885";"63.34900";"10.43741";"Ja";"AutoPASS + automatisk";"1601";"487415243";"1400";"0";"2013";"276321982"
"SALHUSVEIEN";"12.0";"24.0";"Fv923";"59.40038";"5.28461";"Ja";"AutoPASS + automatisk";"1106";"264392509";"5000";"6";"2013";"164849523"
"SKEISVOLLVEIEN";"12.0";"24.0";"Fv924";"59.42878";"5.27196";"Ja";"AutoPASS + automatisk";"1106";"264392507";"5200";"6";"2013";"165944308"
"SKJOLDAVEGEN";"12.0";"24.0";"Fv938";"59.41498";"5.30700";"Ja";"AutoPASS + automatisk";"1106";"264392506";"7500";"5";"2013";"79293164"
"Være";"10.0";"20.0";"Fv950";"63.43057";"10.56658";"Ja";"AutoPASS + automatisk";"1601";"265182530";"8730";"9";"2013";"320515604"
"Skarsmoen";"16.5";"33.0";"Ft312";"61.28178";"10.29589";"Ja";"AutoPASS + automatisk";"0521";"370897163";"6853";"18";"2011";"90355221"
"Drammensveien";"31.0";"93.0";"Kv161";"59.92206";"10.68509";"Ja";"AutoPASS + automatisk";"0301";"86574496";"15800";"5";"2011";"328461107"
"Sørkedalsveien";"31.0";"93.0";"Kv168";"59.93146";"10.70870";"Ja";"AutoPASS + automatisk";"0301";"86574499";"14000";"6";"2011";"328461122"
"Nedre Leirfoss";"10.0";"30.0";"Kv1827";"63.38156";"10.39241";"Ja";"AutoPASS + automatisk";"1601";"265182531";"2100";"2";"2011";"324914316"
"Gml Oslov N for Skavlandsveg";"8.0";"24.0";"Kv2020";"63.40651";"10.34658";"Ja";"AutoPASS + automatisk";"1601";"487415249";"4800";"10";"2011";"324914322"
"Travbaneveien";"20.0";"50.0";"Kv3150";"58.88955";"5.72117";"Ja";"Har autopass";"1103";"285843746";"-9999";"-9999";"-9999";"-9999"
"Landbruksvegen ved IKEA";"8.0";"24.0";"Kv4235";"63.42683";"10.47505";"Ja";"AutoPASS + automatisk";"1601";"487458625";"4000";"10";"2011";"324914408"
"Damsgård";"25.0";"50.0";"Kv4382";"60.38267";"5.31601";"Ja";"AutoPASS + automatisk";"1201";"141479144";"1800";"5";"2011";"300980264"
"Tempevegen";"8.0";"24.0";"Kv7440";"63.40628";"10.39713";"Ja";"AutoPASS + automatisk";"1601";"487458619";"4000";"6";"2011";"324914553"
"Tungasletta";"8.0";"24.0";"Kv7703";"63.42219";"10.46210";"Ja";"AutoPASS + automatisk";"1601";"487458624";"6400";"10";"2011";"324914558"
"Åsenveien";"20.0";"50.0";"Kv8735";"58.89385";"5.68309";"Ja";"Har autopass";"1124";"285843747";"-9999";"-9999";"-9999";"-9999"
"Ekebergveien";"31.0";"93.0";"Kv11462";"59.88947";"10.78217";"Ja";"AutoPASS + automatisk";"0301";"147093909";"4000";"5";"2012";"360397557"
"Kongsveien";"31.0";"93.0";"Kv13868";"59.88803";"10.77059";"Ja";"AutoPASS + automatisk";"0301";"147093908";"6500";"13";"2012";"360397656"
"Lambertseterveien";"31.0";"93.0";"Kv14102";"59.87898";"10.82262";"Ja";"AutoPASS + automatisk";"0301";"147093907";"12000";"7";"2011";"328460880"
"Middelthuns gate";"31.0";"93.0";"Kv14742";"59.93019";"10.70733";"Ja";"AutoPASS + automatisk";"0301";"147093913";"9200";"7";"1991";"327424756"
"Sandstuveien";"31.0";"93.0";"Kv16175";"59.88803";"10.80766";"Ja";"AutoPASS + automatisk";"0301";"147093910";"4000";"5";"1989";"327424373"
"Slemdalsveien";"31.0";"93.0";"Kv16621";"59.93413";"10.70979";"Ja";"AutoPASS + automatisk";"0301";"157032704";"7400";"7";"1999";"327425934"
"Strømsveien";"31.0";"93.0";"Kv17126";"59.93047";"10.85419";"Ja";"AutoPASS + automatisk";"0301";"147093912";"6100";"7";"2009";"328460098"
"Tvetenveien";"31.0";"93.0";"Kv17852";"59.92644";"10.86212";"Ja";"AutoPASS + automatisk";"0301";"147093911";"12000";"8";"2013";"360397796"
"Presteheia";"14.0";"28.0";"Kv18900";"58.16706";"8.01114";"Ja";"AutoPASS + automatisk";"1001";"267832204";"-9999";"-9999";"-9999";"-9999"
"Karenlyst allè";"31.0";"93.0";"Kv20713";"59.92074";"10.68233";"Ja";"AutoPASS + automatisk";"0301";"264603439";"1000";"5";"2005";"328456851"
"Militærvegen";"20.0";"40.0";"Sv80";"60.80423";"11.61163";"Nei";"Kun manuell";"0427";"536627059";"-9999";"-9999";"-9999";"-9999"
